area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Plot  Area,Ready To Move,3 Bedroom,,1200,3,2,200,Shabad
Super built-up  Area,Ready To Move,2 BHK,Prncy R,1015,2,2,37,Shabad
Plot  Area,Ready To Move,5 Bedroom,,2400,5,3,625,Shabad
Built-up  Area,Ready To Move,3 BHK,,1503,2,2,93,Shabad
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1419,2,3,87,Shabad
Super built-up  Area,Ready To Move,2 BHK,Siestr ,1142,2,2,65,Shabad
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3,2,117,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1350,2,2,65,Shabad
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,80,Shabad
Super built-up  Area,Ready To Move,3 BHK,Shthi S,1525,2,2,65,Shabad
Plot  Area,Ready To Move,3 Bedroom,,1200,3,0,66,Shabad
Super built-up  Area,Ready To Move,3 BHK,Naasyak,1360,3,1,75,Shabad
Super built-up  Area,Ready To Move,2 BHK,,1400,2,2,45,Shabad
Plot  Area,Ready To Move,1 Bedroom,,1350,2,0,45,Shabad
Super built-up  Area,18-Apr,3 BHK,BrontLa,1860,3,2,130,Shabad
Plot  Area,Ready To Move,4 Bedroom,Sahidri,2990,3,2,198,Shabad
Super built-up  Area,Ready To Move,2 BHK,Palleon,865,2,1,40,Shabad
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2,1,80,Shabad
Plot  Area,18-May,2 Bedroom,,845,2,1,45.82,Shabad
Plot  Area,Ready To Move,4 Bedroom,,1453,4,1,160,Shabad
Super built-up  Area,Ready To Move,2 BHK,Srntsha,1200,2,2,48,Shabad
Super built-up  Area,17-Nov,2 BHK,Skacak ,1059,2,1,62,Shabad
Plot  Area,Ready To Move,2 Bedroom,,1056,1,0,250,Shabad
Built-up  Area,Ready To Move,2 BHK,,1300,2,2,80,Shabad
Built-up  Area,Ready To Move,3 BHK,BriumMi,2980,4,2,260,Shabad
Built-up  Area,Ready To Move,2 BHK,,1200,2,1,55,Shabad
Super built-up  Area,Ready To Move,2 BHK,SLtias ,795,1,1,32.6,Shabad
Super built-up  Area,Ready To Move,4 BHK,Prtanha,4190,4,,325,Shabad
Super built-up  Area,Ready To Move,2 BHK,Santspa,1000,2,3,58,Shabad
Super built-up  Area,Ready To Move,3 BHK,SPavenc,1290,2,3,51.1,Shabad
Built-up  Area,18-Aug,4 Bedroom,M1riaa ,2500,4,0,100,Shabad
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1130,2,1,36,Shabad
Super built-up  Area,Ready To Move,2 BHK,,935,2,3,45,Shabad
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,1,2,51,Shabad
Built-up  Area,Ready To Move,4 BHK,,2100,3,2,280,Shabad
Plot  Area,Ready To Move,3 Bedroom,,1448,3,1,70,Shabad
Super built-up  Area,18-Apr,2 BHK,,1150,2,2,40,Shabad
Super built-up  Area,20-Oct,3 BHK,Brens7 ,1392,3,1,69.46,Shabad
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2325,4,1,120,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1590,2,2,54,Shabad
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1452,3,3,60.98,Shabad
Super built-up  Area,Ready To Move,3 BHK,Solia D,1750,3,2,105,Shabad
Super built-up  Area,Ready To Move,3 BHK,Prone M,1350,3,2,80.99,Shabad
Super built-up  Area,Ready To Move,3 BHK,MauilTr,1745,3,2,140,Shabad
Plot  Area,Ready To Move,4 Bedroom,Sotosty,3500,5,2,450,Shabad
Built-up  Area,Ready To Move,4 Bedroom,,2500,4,0,170,Shabad
Built-up  Area,18-Dec,2 BHK,,1065,2,1,30.75,Shabad
Super built-up  Area,Ready To Move,3 BHK,SoosePr,1715,3,3,120,Shabad
Super built-up  Area,18-Jul,2 BHK,PualeSk,1346,2,1,74.03,Shabad
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1153,2,2,58,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1385,2,2,48.48,Shabad
Super built-up  Area,Ready To Move,2 BHK,,964,2,1,62,Shabad
Plot  Area,Ready To Move,2 Bedroom,,1160,2,1,65,Shabad
Super built-up  Area,20-Aug,3 BHK,Pruthg ,1583,3,1,95.23,Shabad
Built-up  Area,Ready To Move,3 BHK,Sillaa ,1850,3,3,110,Shabad
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1267,3,1,78,Shabad
Super built-up  Area,Ready To Move,2 BHK,,500,1,1,20,Shabad
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Shabad
Super built-up  Area,18-Apr,4 BHK,BrontLa,3360,5,2,221,Shabad
Built-up  Area,Ready To Move,1 BHK,,600,1,1,15,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Vaens G,1540,2,3,64,Shankarpalle
Built-up  Area,18-Jun,3 BHK,,1798,3,2,89,Shankarpalle
Super built-up  Area,Ready To Move,4 BHK,Prntsrt,1664,4,3,65,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1175,2,1,82,Shankarpalle
Plot  Area,17-Oct,2 Bedroom,,720,2,1,45,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Daill S,1260,2,2,45,Shankarpalle
Plot  Area,Ready To Move,2 Bedroom,,600,2,1,55,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,,1200,4,0,90,Shankarpalle
Plot  Area,Ready To Move,3 Bedroom,Brersld,1200,3,0,95,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,Shelash,950,2,3,31,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,IBityin,2557,3,2,141,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,DLhtsnd,1897,3,2,120,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,CharkGr,1128,2,2,59,Shankarpalle
Plot  Area,Ready To Move,6 Bedroom,,1200,6,3,180,Shankarpalle
Super built-up  Area,18-Mar,3 BHK,,1360,2,2,85,Shankarpalle
Built-up  Area,Ready To Move,3 BHK,,2700,3,1,450,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,DSidePr,1515,3,3,93.93,Shankarpalle
Built-up  Area,18-Dec,3 Bedroom,,2611,3,1,239,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,RatosAr,1100,2,2,71.5,Shankarpalle
Built-up  Area,Ready To Move,3 Bedroom,,600,2,0,100,Shankarpalle
Super built-up  Area,19-Dec,2 BHK,Shestlo,1245,2,1,86.28,Shankarpalle
Built-up  Area,Ready To Move,4 Bedroom,,4800,4,3,190,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,PrwarSa,921,2,1,34,Shankarpalle
Built-up  Area,18-Mar,3 BHK,,1655,3,1,115,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,,2000,3,2,25,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1305,2,2,49,Shankarpalle
Super built-up  Area,18-Jul,3 BHK,RRnumn ,2072,3,2,108,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1700,3,1,97,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1555,3,2,82.5,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,Puodsm ,2540,4,1,115,Shankarpalle
Super built-up  Area,18-Aug,1 BHK,Dhowsyo,630,1,0,13.86,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1149,2,1,75,Shankarpalle
Super built-up  Area,18-Aug,1 BHK,Prllsan,648,1,1,31.75,Shankarpalle
Plot  Area,18-May,4 Bedroom,Prtates,500Sq. Yards,4,2,378,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,Srncykh,1070,2,1,35,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1464,2,2,56,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Amivace,1457,2,2,85,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Prhtsok,2059,3,2,225,Shankarpalle
Built-up  Area,18-Dec,2 BHK,,1090,2,1,31.49,Shankarpalle
Super built-up  Area,18-Dec,4 BHK,Jaades ,2690,4,3,191,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,,600,3,2,75,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1196,2,2,56.81,Shankarpalle
Super built-up  Area,18-Jan,3 BHK,,1300,3,2,47,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Suriaa ,1109,2,1,63,Shankarpalle
Super built-up  Area,18-Aug,3 BHK,Sodgere,1856,3,2,135,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Mades G,1680,3,1,160,Shankarpalle
Super built-up  Area,19-Jan,2 BHK,,1150,2,1,74,Shankarpalle
Super built-up  Area,18-Mar,1 BHK,SNnia E,575,1,1,88,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1735,3,2,72,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,RothaVa,1165,2,2,75,Shankarpalle
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,60,Shankarpalle
Super built-up  Area,18-Mar,2 BHK,SSestth,955,2,1,35.28,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Goourta,2065,3,2,130,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1255,2,1,54.5,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Niareum,1226,2,2,52.71,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Sparam ,1312,2,2,55,Shankarpalle
Built-up  Area,Ready To Move,1 BHK,NaensGa,600,1,0,20,Shankarpalle
Built-up  Area,17-Dec,1 BHK,Prarkun,630,1,1,60,Shankarpalle
Super built-up  Area,19-Mar,2 BHK,,924,2,2,76.23,Shankarpalle
Built-up  Area,Ready To Move,4 BHK,VMowsea,2050,3,1,100,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Neestna,941,2,2,48,Shankarpalle
Super built-up  Area,19-Dec,1 BHK,Sabixtt,658,1,1,34,Shankarpalle
Super built-up  Area,18-Apr,3 BHK,PualeSk,1700,3,2,93.5,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1185,2,2,40.17,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Lalipa ,1540,3,3,76,Shankarpalle
Super built-up  Area,17-May,2 BHK,Vedhias,1125,2,1,47,Shankarpalle
Built-up  Area,Ready To Move,3 BHK,PhestOn,2300,3,3,369,Shankarpalle
Plot  Area,Ready To Move,1 Bedroom,,3820,1,1,306,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1560,2,2,62.38,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,,2400,4,0,350,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1151,2,2,39,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1255,2,2,50.19,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Chtert ,1390,2,2,95,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,SGllaav,1439,3,1,57.23,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1552,3,3,75,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Asorai ,1254,2,2,47,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Vacle P,1475,2,1,70,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,Gohts H,1567,3,0,140,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1636,3,2,85,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1020,2,2,48.95,Shankarpalle
Super built-up  Area,19-Aug,4 BHK,Pruthg ,2462 - 2467,6,0,118,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Conixt ,1225,2,1,69,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1850,4,2,120,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Vimesar,1200,2,3,49,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1500,2,2,75,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1000,2,2,35,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1032,2,1,42,Shankarpalle
Built-up  Area,Ready To Move,3 Bedroom,,1650,3,0,52,Shankarpalle
Plot  Area,Immediate Possession,,Ocezes ,2000,,,120,Shankarpalle
Super built-up  Area,Ready To Move,1 BHK,Prensya,654,1,1,38,Shankarpalle
Built-up  Area,Ready To Move,4 Bedroom,,4200,4,2,255,Shankarpalle
Built-up  Area,Ready To Move,3 BHK,,1675,3,2,65,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1209,2,2,100,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,DSoodSh,1063,2,2,40,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,AnnceEl,1150,2,2,90,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,,2400,4,2,89,Shankarpalle
Super built-up  Area,18-Apr,2 BHK,Soresea,1012,2,1,65,Shankarpalle
Super built-up  Area,18-Mar,3 BHK,Alestrb,1762,3,3,112,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1092,2,2,43,Shankarpalle
Plot  Area,Ready To Move,5 Bedroom,,3750,6,2,295,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,Skesta ,1184,2,1,55,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1250,2,2,50,Shankarpalle
Plot  Area,Ready To Move,6 Bedroom,,1200,6,2,330,Shankarpalle
Plot  Area,Ready To Move,6 Bedroom,,600,5,3,130,Shankarpalle
Plot  Area,Ready To Move,6 Bedroom,,1200,5,1,280,Shankarpalle
Plot  Area,Ready To Move,5 Bedroom,,800,5,1,95,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Ahriaup,1019,2,1,62,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,,1510,3,2,75,Shankarpalle
Super built-up  Area,18-Jul,5 BHK,Phaku K,7514,7,,1500,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Stensg ,1178,2,1,80,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,73.2,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Prtanha,2072,4,2,151,Shankarpalle
Built-up  Area,Ready To Move,2 BHK,,1065,2,1,70,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,AjityIn,1945,3,3,115,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,SJityaz,1242,2,1,78,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1220,2,2,46,Shankarpalle
Super built-up  Area,18-Mar,2 BHK,Asarqz ,1245,2,1,59.76,Shankarpalle
Super built-up  Area,17-Mar,3 BHK,DiiteR ,1347,2,2,55,Shankarpalle
Super built-up  Area,19-Dec,4 BHK,Shestlo,2940,6,2,201,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Naory G,1475,3,3,75,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,Iseenst,1436,2,3,62.15,Shankarpalle
Super built-up  Area,Ready To Move,4 BHK,Prigh L,4040,4,0,500,Shankarpalle
Plot  Area,17-Aug,5 Bedroom,,1200,5,1,125,Shankarpalle
Plot  Area,Ready To Move,6 Bedroom,,970,6,3,105,Shankarpalle
Plot  Area,Ready To Move,3 Bedroom,Asncy P,1520,3,1,165,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,SaodsGr,1885,3,2,85.52,Shankarpalle
Built-up  Area,Ready To Move,4 Bedroom,,2400,4,1,180,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,StwarSi,1062,2,1,50,Shankarpalle
Super built-up  Area,Ready To Move,4 BHK,LedorSa,2650,4,1,223,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Mauner ,1129,2,1,50,Shankarpalle
Built-up  Area,21-Dec,3 BHK,,1500,3,2,50,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2,1,67.4,Shankarpalle
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Shankarpalle
Built-up  Area,18-Mar,4 Bedroom,,3385,4,1,220,Shankarpalle
Super built-up  Area,Ready To Move,3 BHK,SNity S,1510,2,3,110,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,,1020,2,2,39,Shankarpalle
Super built-up  Area,Ready To Move,2 BHK,Shateor,1295,2,1,62,Shankarpalle
Plot  Area,Ready To Move,3 Bedroom,SJovest,2010,3,2,201,Shankarpalle
Super built-up  Area,19-Dec,3 BHK,She 2rk,1755,3,1,122,Abdullapurmet
Super built-up  Area,18-Dec,3 BHK,,1436,3,1,74.75,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,SNdri N,1475,3,2,78.29,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Maerar ,1850,3,3,150,Abdullapurmet
Plot  Area,Ready To Move,2 Bedroom,,1000,2,0,165,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1511,3,1,95,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,DSureSi,1630,3,2,85,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Sohea A,2300,3,3,120,Abdullapurmet
Plot  Area,Ready To Move,6 Bedroom,,600,4,3,65,Abdullapurmet
Built-up  Area,Ready To Move,7 Bedroom,,2500,6,2,115,Abdullapurmet
Super built-up  Area,18-Apr,3 BHK,,1396,2,1,86.51,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Raaden ,1480,3,2,90,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,996,2,1,67,Abdullapurmet
Plot  Area,Ready To Move,6 Bedroom,,1200,6,2,250,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,PrestSe,1178,2,3,47,Abdullapurmet
Super built-up  Area,19-Dec,3 BHK,Ceezey ,1865,3,1,124,Abdullapurmet
Super built-up  Area,18-Jul,2 BHK,DSvvyx ,1120,2,2,33.6,Abdullapurmet
Super built-up  Area,18-Dec,2 BHK,Prllsan,1157,2,1,53.8,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Saiewas,1875,2,2,150,Abdullapurmet
Built-up  Area,Ready To Move,2 Bedroom,,1300,2,0,120,Abdullapurmet
Super built-up  Area,18-Apr,3 BHK,,2000,3,3,207,Abdullapurmet
Plot  Area,Ready To Move,3 Bedroom,,1158,2,2,85,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Arnorya,1533,3,2,115,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Rasom B,1010,2,1,49.27,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,,940,2,1,40,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,FoapeWa,1322,2,2,68,Abdullapurmet
Plot  Area,Ready To Move,4 Bedroom,,800,4,2,120,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1450,3,3,60.91,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Tentsw ,1575,2,2,78,Abdullapurmet
Plot  Area,Ready To Move,2 Bedroom,,1550,2,1,71,Abdullapurmet
Super built-up  Area,17-Dec,2 BHK,BrdgeNo,1290,2,1,100,Abdullapurmet
Super built-up  Area,19-May,3 BHK,Klark L,1446 - 1506,,,98.94,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,2180,3,2,170,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,AdingSV,1167,2,1,38,Abdullapurmet
Built-up  Area,Ready To Move,4 Bedroom,,2700,4,2,130,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,1801,3,2,140,Abdullapurmet
Plot  Area,Ready To Move,3 Bedroom,,2200,3,2,130,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Marnaer,1262,2,2,55,Abdullapurmet
Super built-up  Area,21-Jan,1 BHK,PrarePa,525,1,1,30,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,NCowsar,1712,3,3,82,Abdullapurmet
Super built-up  Area,Ready To Move,4 Bedroom,Prllasw,3293 - 5314,,,226,Abdullapurmet
Super built-up  Area,18-May,2 BHK,SLityee,1020,2,1,44.5,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,,1280,2,1,69,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,,1157,2,0,40,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Metrais,1280,2,1,49.75,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,NRowse ,1464,3,2,56,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,SMaxyay,1400,2,1,82,Abdullapurmet
Plot  Area,Ready To Move,2 Bedroom,,600,3,2,45,Abdullapurmet
Super built-up  Area,18-Jul,2 BHK,GMown E,1025,2,1,54.1,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,Shthi S,915,2,2,37,Abdullapurmet
Plot  Area,Ready To Move,7 Bedroom,,1200,7,3,169,Abdullapurmet
Plot  Area,Ready To Move,3 Bedroom,,1200,2,0,66,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Prtanha,1418,2,2,104,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,PuandHi,1800,3,2,90,Abdullapurmet
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,100,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1500,2,2,88,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,HovasTe,750,2,0,40,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Brica E,2640,5,1,142,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Brngsal,1850,3,1,150,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,DLhtsan,914,2,2,49,Abdullapurmet
Super built-up  Area,Ready To Move,1 BHK,UKe 2nz,530,1,1,29.44,Abdullapurmet
Plot  Area,Ready To Move,4 Bedroom,Soacyst,5000,4,3,465,Abdullapurmet
Plot  Area,Ready To Move,3 Bedroom,,1350,3,1,250,Abdullapurmet
Built-up  Area,Ready To Move,3 Bedroom,,1600,3,0,75,Abdullapurmet
Super built-up  Area,18-May,3 BHK,Miitat ,1890,3,2,108,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3,3,63.5,Abdullapurmet
Super built-up  Area,18-Jul,2 BHK,Rosha I,1447,2,1,75.97,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,JSonyar,1000,2,1,62,Abdullapurmet
Super built-up  Area,Ready To Move,5 BHK,,2000,4,2,145,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1140,2,2,42,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,SReafin,1185,2,1,50,Abdullapurmet
Super built-up  Area,19-Jan,5 BHK,,7500,8,3,1700,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,GMown E,1025,2,1,53.9,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,RothaVa,1500,3,2,104,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1375,2,2,72,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Krala D,1785,3,2,120,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Ozensve,1255,3,2,115,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Jancyva,1265,2,2,55,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Prrtht ,1082,2,1,45.5,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Kaiew L,1415,3,1,65,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,965,2,1,56,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1125,2,2,56.8,Abdullapurmet
Plot  Area,Ready To Move,4 Bedroom,UKe 2nz,5200,5,3,242,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,Sungspr,1580,3,1,60,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,,1120,2,2,65,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Rie 2ri,1502,3,3,50,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,MyhtsHe,1071,2,1,51,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Spess C,1998,3,2,117,Abdullapurmet
Super built-up  Area,Ready To Move,1 BHK,,600,1,0,45,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,VKe 1 M,1220,2,1,65,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,OadraCh,1105,2,2,50,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Shitt S,1450,2,2,63.51,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,708,2,1,32,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,MBodsen,1089,2,1,43.55,Abdullapurmet
Super built-up  Area,Ready To Move,1 BHK,Prensya,697,1,1,35,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1310,2,2,111,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,RothaVa,1169,2,2,75,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Shncy R,970,2,2,34,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Dimes E,1303,2,2,80,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,SyavuHo,1400,2,0,75,Abdullapurmet
Super built-up  Area,19-Mar,3 BHK,Puachal,1679,3,2,94.86,Abdullapurmet
Plot  Area,Ready To Move,7 Bedroom,,1400,5,2,175,Abdullapurmet
Super built-up  Area,19-Jun,4 BHK,Raard B,2470 - 2790,5,0,188,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,GMown E,1360,2,1,70,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Vaw 1il,1090,2,2,57,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,703,2,1,60,Abdullapurmet
Plot  Area,Ready To Move,5 Bedroom,,1400,5,1,97,Abdullapurmet
Super built-up  Area,18-May,2 BHK,,1150,2,2,40.21,Abdullapurmet
Built-up  Area,Ready To Move,2 BHK,,1120,2,1,50,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,Ahriaup,1881,3,2,145,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Prsorhi,991,2,2,40,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1055,2,1,43,Abdullapurmet
Built-up  Area,Ready To Move,4 Bedroom,,2200,3,1,225,Abdullapurmet
Super built-up  Area,20-Jun,2 BHK,Brstaue,1150 - 1194,2,0,56.725,Abdullapurmet
Super built-up  Area,19-Nov,3 BHK,,1033,2,2,30.47,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,Skacak ,1268,2,1,58,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,PlhtsHe,1441,2,1,115,Abdullapurmet
Built-up  Area,Ready To Move,5 Bedroom,,1200,3,1,65,Abdullapurmet
Plot  Area,Ready To Move,8 Bedroom,,1200,8,3,250,Abdullapurmet
Built-up  Area,Ready To Move,3 BHK,NCarkna,1633,3,2,110,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,SJityVe,1353,2,3,75,Abdullapurmet
Plot  Area,18-Apr,3 Bedroom,,1200,2,0,66,Abdullapurmet
Super built-up  Area,18-Jan,3 BHK,Pu270a ,1980,4,2,166,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,37,Abdullapurmet
Plot  Area,Ready To Move,7 Bedroom,,3150,7,3,375,Abdullapurmet
Super built-up  Area,Ready To Move,3 BHK,GoncyRe,1665,3,,85,Abdullapurmet
Super built-up  Area,Ready To Move,2 BHK,,1500,2,2,45,Abdullapurmet
